Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;01;27;00;00;11.88;92.00;0.00;2.24;270.00
2020;01;27;01;00;11.71;92.00;0.00;2.01;270.00
2020;01;27;02;00;11.36;92.00;0.00;2.68;270.00
2020;01;27;03;00;11.00;92.00;0.00;3.39;277.59
2020;01;27;04;00;9.88;92.00;0.00;3.82;290.56
2020;01;27;05;00;8.20;89.00;0.00;6.11;298.44
2020;01;27;06;00;8.16;77.00;0.00;7.71;299.54
2020;01;27;07;00;7.14;79.00;0.00;8.50;305.36
2020;01;27;08;00;6.98;78.00;0.00;8.50;305.36
2020;01;27;09;00;7.64;76.00;0.00;8.07;303.69
2020;01;27;10;00;9.76;69.00;0.00;7.93;286.39
2020;01;27;11;00;11.73;66.00;0.00;7.16;270.00
2020;01;27;12;00;13.67;61.00;0.00;8.13;262.09
2020;01;27;13;00;14.81;58.00;0.00;11.72;246.37
2020;01;27;14;00;15.12;58.00;0.00;13.31;245.16
2020;01;27;15;00;15.21;58.00;0.00;15.04;247.25
2020;01;27;16;00;15.12;58.00;0.00;15.37;248.66
2020;01;27;17;00;14.30;63.00;0.00;14.72;250.46
2020;01;27;18;00;12.72;73.00;0.00;12.88;249.68
2020;01;27;19;00;11.55;82.00;0.00;12.38;253.20
2020;01;27;20;00;11.16;85.00;0.00;11.94;257.01
2020;01;27;21;00;11.30;83.00;0.00;11.11;260.73
2020;01;27;22;00;11.10;81.00;0.00;10.07;270.00
2020;01;27;23;00;10.66;80.00;0.00;8.55;276.01
2020;01;28;00;00;10.05;79.00;0.00;8.30;284.04
2020;01;28;01;00;9.88;72.00;0.00;8.85;286.14
2020;01;28;02;00;9.57;73.00;0.00;9.08;279.93
2020;01;28;03;00;9.08;76.00;0.00;9.39;282.38
2020;01;28;04;00;8.77;80.00;0.00;10.47;289.98
2020;01;28;05;00;9.15;80.00;0.00;12.11;297.51
2020;01;28;06;00;9.10;80.00;0.00;11.93;300.41
2020;01;28;07;00;8.73;81.00;0.00;10.55;291.12
2020;01;28;08;00;8.48;82.00;0.00;10.75;282.01
2020;01;28;09;00;9.57;78.00;0.00;11.12;285.15
2020;01;28;10;00;12.44;69.00;0.00;11.99;278.58
2020;01;28;11;00;14.89;62.00;0.00;12.98;271.97
2020;01;28;12;00;16.50;58.00;0.00;13.20;269.03
2020;01;28;13;00;17.33;52.00;0.00;14.91;297.72
2020;01;28;14;00;18.05;47.00;0.00;14.81;296.95
2020;01;28;15;00;18.36;41.00;0.00;16.01;298.35
2020;01;28;16;00;18.00;43.00;0.00;16.41;295.87
2020;01;28;17;00;17.39;43.00;0.00;15.36;286.06
2020;01;28;18;00;15.87;46.00;0.00;15.19;283.63
2020;01;28;19;00;14.06;56.00;0.00;12.28;280.49
2020;01;28;20;00;12.96;63.00;0.00;10.63;284.62
2020;01;28;21;00;12.12;67.00;0.00;8.70;295.91
2020;01;28;22;00;11.55;68.00;0.00;7.16;308.66
2020;01;28;23;00;10.84;69.00;0.00;6.17;316.47
2020;01;29;00;00;9.98;71.00;0.00;6.40;323.53
2020;01;29;01;00;9.52;68.00;0.00;6.61;331.70
2020;01;29;02;00;9.14;66.00;0.00;6.95;345.07
2020;01;29;03;00;8.85;62.00;0.00;7.06;349.05
2020;01;29;04;00;8.63;56.00;0.00;6.84;348.69
2020;01;29;05;00;8.68;51.00;0.00;6.14;349.51
2020;01;29;06;00;8.78;48.00;0.00;5.88;351.25
2020;01;29;07;00;8.80;44.00;0.00;5.37;360.00
2020;01;29;08;00;8.58;45.00;0.00;5.19;7.43
2020;01;29;09;00;8.67;55.00;0.00;4.78;10.78
2020;01;29;10;00;10.63;66.00;0.00;2.77;14.04
2020;01;29;11;00;11.67;84.00;0.00;1.27;45.00
2020;01;29;12;00;12.33;82.00;0.00;1.43;141.34
2020;01;29;13;00;13.20;83.00;0.00;4.34;145.49
2020;01;29;14;00;13.14;85.00;0.00;6.30;173.88
2020;01;29;15;00;12.66;88.00;0.00;7.86;184.90
2020;01;29;16;00;12.43;89.00;0.00;6.84;191.31
2020;01;29;17;00;12.29;88.00;0.00;5.70;191.31
2020;01;29;18;00;11.52;91.00;0.00;3.91;193.24
2020;01;29;19;00;11.00;93.00;0.00;2.77;194.04
2020;01;29;20;00;10.79;94.00;0.00;2.50;206.57
2020;01;29;21;00;10.65;95.00;0.00;0.63;225.00
2020;01;29;22;00;10.61;95.00;0.00;0.22;270.00
2020;01;29;23;00;10.52;95.00;0.00;1.90;225.00
2020;01;30;00;00;10.57;95.00;0.00;2.80;241.39
2020;01;30;01;00;10.29;96.00;0.00;2.69;274.76
2020;01;30;02;00;9.84;96.00;0.00;3.42;281.31
2020;01;30;03;00;9.39;95.00;0.00;3.91;283.24
2020;01;30;04;00;9.08;96.00;0.00;5.61;298.61
2020;01;30;05;00;10.01;87.00;0.00;6.14;303.11
2020;01;30;06;00;10.63;83.00;0.00;5.70;295.56
2020;01;30;07;00;11.38;79.00;0.00;5.32;284.62
2020;01;30;08;00;11.50;78.00;0.00;5.66;288.43
2020;01;30;09;00;12.25;76.00;0.00;6.80;297.41
2020;01;30;10;00;14.08;71.00;0.00;7.50;296.57
2020;01;30;11;00;14.50;71.00;0.00;7.52;306.53
2020;01;30;12;00;15.31;69.00;0.00;7.26;303.69
2020;01;30;13;00;16.77;61.00;0.00;2.92;274.40
2020;01;30;14;00;18.20;60.00;0.00;2.53;225.00
2020;01;30;15;00;17.49;67.00;0.00;6.27;177.95
2020;01;30;16;00;16.09;73.00;0.00;6.93;180.00
2020;01;30;17;00;15.11;76.00;0.00;6.14;169.51
2020;01;30;18;00;13.43;89.00;0.00;4.43;135.00
2020;01;30;19;00;12.76;95.00;0.00;4.05;83.66
2020;01;30;20;00;12.30;95.00;0.00;2.55;52.13
2020;01;30;21;00;12.02;96.00;0.00;0.22;360.00
2020;01;30;22;00;12.06;94.00;0.00;0.71;288.43
2020;01;30;23;00;12.30;92.00;0.00;2.06;319.40
2020;01;31;00;00;13.02;82.00;0.00;3.48;315.00
2020;01;31;01;00;12.52;77.00;0.00;4.59;313.03
2020;01;31;02;00;11.13;79.00;0.00;6.64;315.00
2020;01;31;03;00;10.54;81.00;0.00;7.13;318.81
2020;01;31;04;00;10.38;80.00;0.00;7.11;331.82
2020;01;31;05;00;11.36;78.00;0.00;6.02;344.93
2020;01;31;06;00;13.12;71.00;0.00;4.89;344.05
2020;01;31;07;00;13.53;70.00;0.00;4.41;329.53
2020;01;31;08;00;13.28;69.00;0.00;4.80;332.24
2020;01;31;09;00;13.06;71.00;0.00;4.91;335.77
2020;01;31;10;00;14.44;70.00;0.00;3.67;322.43
2020;01;31;11;00;16.66;65.00;0.00;1.41;288.43
2020;01;31;12;00;18.04;57.00;0.00;1.61;213.69
2020;01;31;13;00;19.52;51.00;0.00;3.04;216.03
2020;01;31;14;00;19.61;53.00;0.00;6.55;187.85
2020;01;31;15;00;18.63;58.00;0.00;8.52;193.67
2020;01;31;16;00;17.82;59.00;0.00;8.50;206.57
2020;01;31;17;00;16.81;63.00;0.00;8.25;212.83
2020;01;31;18;00;15.45;67.00;0.00;7.13;228.81
2020;01;31;19;00;14.70;69.00;0.00;5.32;255.38
2020;01;31;20;00;14.67;67.00;0.00;4.72;275.44
2020;01;31;21;00;14.76;65.00;0.00;2.94;278.75
2020;01;31;22;00;13.93;70.00;0.00;2.46;270.00
2020;01;31;23;00;13.41;75.00;0.00;3.81;273.37
2020;02;01;00;00;12.52;83.00;0.00;5.16;274.97
2020;02;01;01;00;12.37;82.00;0.00;6.50;273.95
2020;02;01;02;00;12.21;80.00;0.00;6.99;277.35
2020;02;01;03;00;11.76;79.00;0.00;6.99;277.35
2020;02;01;04;00;11.00;81.00;0.00;7.57;288.97
2020;02;01;05;00;10.35;82.00;0.00;8.44;302.01
2020;02;01;06;00;10.81;80.00;0.00;9.11;297.82
2020;02;01;07;00;10.50;82.00;0.00;9.80;297.15
2020;02;01;08;00;10.04;84.00;0.00;10.34;291.57
2020;02;01;09;00;11.11;80.00;0.00;10.72;293.36
2020;02;01;10;00;13.71;74.00;0.00;10.69;285.78
2020;02;01;11;00;17.19;65.00;0.00;12.03;288.43
2020;02;01;12;00;18.66;60.00;0.00;10.52;299.29
2020;02;01;13;00;19.87;54.00;0.00;6.67;320.44
2020;02;01;14;00;21.27;47.00;0.00;2.12;288.43
2020;02;01;15;00;21.64;47.00;0.00;3.41;156.80
2020;02;01;16;00;20.18;55.00;0.00;5.46;145.01
2020;02;01;17;00;19.02;62.00;0.00;2.30;150.95
2020;02;01;18;00;16.97;77.00;0.00;2.86;128.66
2020;02;01;19;00;14.81;91.00;0.00;2.85;135.00
2020;02;01;20;00;14.14;94.00;0.00;2.01;90.00
2020;02;01;21;00;13.39;97.00;0.00;1.43;51.34
2020;02;01;22;00;13.44;94.00;0.00;2.24;360.00
2020;02;01;23;00;13.85;89.00;0.00;2.28;348.69
2020;02;02;00;00;14.06;85.00;0.00;2.69;355.24
2020;02;02;01;00;13.31;84.00;0.00;3.70;334.98
2020;02;02;02;00;12.53;82.00;0.00;3.20;335.22
2020;02;02;03;00;11.63;83.00;0.00;4.30;332.10
2020;02;02;04;00;11.29;81.00;0.00;4.16;323.75
2020;02;02;05;00;10.77;81.00;0.00;5.91;307.30
2020;02;02;06;00;10.50;80.00;0.00;7.57;304.16
2020;02;02;07;00;10.41;78.00;0.00;8.40;311.76
2020;02;02;08;00;10.98;73.00;0.00;8.42;309.61
2020;02;02;09;00;12.44;71.00;0.00;9.13;306.03
2020;02;02;10;00;14.77;65.00;0.00;10.05;302.28
2020;02;02;11;00;16.73;62.00;0.00;10.80;297.10
2020;02;02;12;00;18.84;59.00;0.00;10.22;293.20
2020;02;02;13;00;20.54;51.00;0.00;9.83;287.20
2020;02;02;14;00;21.73;51.00;0.00;8.51;266.99
2020;02;02;15;00;22.14;52.00;0.00;7.98;258.69
2020;02;02;16;00;22.66;49.00;0.00;8.50;270.00
2020;02;02;17;00;22.00;52.00;0.00;7.61;268.32
2020;02;02;18;00;20.36;57.00;0.00;6.95;266.31
2020;02;02;19;00;19.45;59.00;0.00;7.28;280.62
2020;02;02;20;00;18.58;60.00;0.00;7.50;296.57
2020;02;02;21;00;16.47;69.00;0.00;7.52;300.38
2020;02;02;22;00;15.25;77.00;0.00;7.41;298.89
2020;02;02;23;00;14.92;79.00;0.00;7.61;298.07
2020;02;03;00;00;14.68;79.00;0.00;7.50;296.57
2020;02;03;01;00;14.49;78.00;0.00;7.91;298.74
2020;02;03;02;00;13.93;79.00;0.00;8.21;299.36
2020;02;03;03;00;13.60;79.00;0.00;8.21;299.36
2020;02;03;04;00;12.71;81.00;0.00;7.45;302.74
2020;02;03;05;00;12.34;81.00;0.00;6.71;306.87
2020;02;03;06;00;12.28;80.00;0.00;7.60;312.61
2020;02;03;07;00;12.14;81.00;0.00;7.21;330.26
2020;02;03;08;00;13.11;74.00;0.00;7.11;347.28
2020;02;03;09;00;15.34;66.00;0.00;7.25;351.12
2020;02;03;10;00;17.29;63.00;0.00;6.23;338.96
2020;02;03;11;00;19.71;57.00;0.00;4.70;360.00
2020;02;03;12;00;21.07;53.00;0.00;4.43;45.00
2020;02;03;13;00;22.54;43.00;0.00;2.70;155.56
2020;02;03;14;00;21.37;51.00;0.00;4.83;166.61
2020;02;03;15;00;20.61;54.00;0.00;4.34;168.11
2020;02;03;16;00;20.33;54.00;0.00;3.69;165.96
2020;02;03;17;00;19.31;58.00;0.00;3.83;173.29
2020;02;03;18;00;17.44;66.00;0.00;4.05;186.34
2020;02;03;19;00;15.84;72.00;0.00;3.23;213.69
2020;02;03;20;00;15.24;74.00;0.00;2.83;251.57
2020;02;03;21;00;15.68;70.00;0.00;3.54;288.43
2020;02;03;22;00;15.78;67.00;0.00;5.66;279.09
2020;02;03;23;00;14.08;75.00;0.00;7.93;286.39
2020;02;04;00;00;13.07;79.00;0.00;8.11;294.44
2020;02;04;01;00;12.94;71.00;0.00;8.80;297.22
2020;02;04;02;00;12.53;63.00;0.00;9.44;301.43
2020;02;04;03;00;12.18;56.00;0.00;10.07;306.87
2020;02;04;04;00;12.34;59.00;0.00;10.20;307.87
2020;02;04;05;00;11.70;69.00;0.00;9.66;312.18
2020;02;04;06;00;12.15;69.00;0.00;11.87;312.71
2020;02;04;07;00;12.68;63.00;0.00;13.52;308.96
2020;02;04;08;00;12.46;59.00;0.00;12.44;307.69
2020;02;04;09;00;13.37;54.00;0.00;12.03;313.49
2020;02;04;10;00;15.54;50.00;0.00;11.81;322.70
2020;02;04;11;00;18.40;44.00;0.00;9.02;336.61
2020;02;04;12;00;20.52;39.00;0.00;4.59;43.03
2020;02;04;13;00;19.55;49.00;0.00;4.70;92.73
2020;02;04;14;00;18.02;57.00;0.00;7.64;110.56
2020;02;04;15;00;16.63;70.00;0.00;12.73;108.43
2020;02;04;16;00;15.66;74.00;0.00;10.94;139.14
2020;02;04;17;00;15.59;73.00;0.00;3.83;186.71
2020;02;04;18;00;15.30;73.00;0.00;5.03;249.15
2020;02;04;19;00;14.30;79.00;0.00;5.22;239.04
2020;02;04;20;00;13.23;53.00;0.00;4.30;231.34
2020;02;04;21;00;11.11;44.00;0.00;3.12;248.96
2020;02;04;22;00;9.73;54.00;0.00;3.13;360.00
2020;02;04;23;00;10.36;57.00;0.00;0.95;315.00
2020;02;05;00;00;9.46;57.00;0.00;5.30;242.35
2020;02;05;01;00;7.22;46.00;0.00;6.94;271.85
2020;02;05;02;00;7.82;50.00;0.00;5.10;322.13
2020;02;05;03;00;8.56;60.00;0.00;4.11;337.62
2020;02;05;04;00;8.08;65.00;0.00;4.08;350.54
2020;02;05;05;00;8.77;67.00;0.00;3.33;19.65
2020;02;05;06;00;9.26;71.00;0.00;1.91;339.44
2020;02;05;07;00;8.82;69.00;0.00;4.00;333.43
2020;02;05;08;00;8.25;67.00;0.00;6.61;331.70
2020;02;05;09;00;8.72;67.00;0.00;6.41;335.22
2020;02;05;10;00;11.15;60.00;0.00;6.17;316.47
2020;02;05;11;00;12.69;56.00;0.00;6.33;302.01
2020;02;05;12;00;13.57;59.00;0.00;4.46;252.47
2020;02;05;13;00;13.31;67.00;0.00;7.83;181.64
2020;02;05;14;00;13.93;62.00;0.00;3.58;270.00
2020;02;05;15;00;14.61;57.00;0.00;5.32;202.25
2020;02;05;16;00;14.54;59.00;0.00;8.44;212.01
2020;02;05;17;00;13.77;68.00;0.00;7.77;228.50
2020;02;05;18;00;13.00;71.00;0.00;4.75;225.00
2020;02;05;19;00;12.29;75.00;0.00;1.12;216.87
2020;02;05;20;00;12.13;77.00;0.00;1.50;26.57
2020;02;05;21;00;11.97;77.00;0.00;2.91;22.62
2020;02;05;22;00;11.21;80.00;0.00;2.77;14.04
2020;02;05;23;00;10.83;77.00;0.00;2.98;12.99
2020;02;06;00;00;10.58;81.00;0.00;3.86;79.99
2020;02;06;01;00;10.86;62.00;0.00;7.07;108.43
2020;02;06;02;00;9.71;51.00;0.00;4.78;349.22
2020;02;06;03;00;9.06;54.00;0.00;4.70;357.27
2020;02;06;04;00;8.64;55.00;0.00;5.15;2.49
2020;02;06;05;00;8.41;48.00;0.00;5.59;360.00
2020;02;06;06;00;7.84;49.00;0.00;5.59;360.00
2020;02;06;07;00;7.69;49.00;0.00;6.41;347.91
2020;02;06;08;00;7.99;48.00;0.00;6.61;336.04
2020;02;06;09;00;8.51;51.00;0.00;6.45;326.31
2020;02;06;10;00;10.39;53.00;0.00;4.41;300.47
2020;02;06;11;00;12.48;54.00;0.00;5.16;252.35
2020;02;06;12;00;13.68;60.00;0.00;8.54;225.00
2020;02;06;13;00;14.33;61.00;0.00;11.23;224.19
2020;02;06;14;00;14.48;62.00;0.00;12.09;218.99
2020;02;06;15;00;13.97;70.00;0.00;13.29;216.10
2020;02;06;16;00;13.55;74.00;0.00;13.11;216.67
2020;02;06;17;00;13.31;72.00;0.00;11.98;212.80
2020;02;06;18;00;12.36;76.00;0.00;9.75;211.87
2020;02;06;19;00;11.51;80.00;0.00;7.14;212.20
2020;02;06;20;00;10.97;80.00;0.00;5.24;219.81
2020;02;06;21;00;10.82;78.00;0.00;3.61;240.26
2020;02;06;22;00;10.37;79.00;0.00;2.24;270.00
2020;02;06;23;00;9.68;83.00;0.00;2.53;315.00
2020;02;07;00;00;8.90;88.00;0.00;3.18;309.29
2020;02;07;01;00;7.94;93.00;0.00;3.96;317.29
2020;02;07;02;00;8.13;89.00;0.00;3.20;282.09
2020;02;07;03;00;8.54;85.00;0.00;3.23;326.31
2020;02;07;04;00;8.69;84.00;0.00;3.30;331.70
2020;02;07;05;00;8.83;82.00;0.00;4.11;337.62
2020;02;07;06;00;8.60;81.00;0.00;4.61;345.96
2020;02;07;07;00;8.36;81.00;0.00;5.05;347.20
2020;02;07;08;00;8.52;81.00;0.00;4.20;334.80
2020;02;07;09;00;8.92;83.00;0.00;4.34;325.49
2020;02;07;10;00;11.11;77.00;0.00;2.83;288.43
2020;02;07;11;00;12.12;75.00;0.00;3.16;225.00
2020;02;07;12;00;12.71;73.00;0.00;5.41;204.44
2020;02;07;13;00;13.22;70.00;0.00;7.22;196.19
2020;02;07;14;00;13.88;66.00;0.00;6.49;226.40
2020;02;07;15;00;14.18;64.00;0.00;8.57;195.12
2020;02;07;16;00;13.64;66.00;0.00;10.82;198.06
2020;02;07;17;00;13.25;68.00;0.00;9.88;193.09
2020;02;07;18;00;12.54;71.00;0.00;8.16;189.46
2020;02;07;19;00;12.11;74.00;0.00;6.02;195.07
2020;02;07;20;00;11.79;76.00;0.00;3.91;203.63
2020;02;07;21;00;11.62;78.00;0.00;2.30;209.05
2020;02;07;22;00;11.26;80.00;0.00;1.50;206.57
2020;02;07;23;00;10.95;81.00;0.00;1.12;270.00
2020;02;08;00;00;10.60;82.00;0.00;2.06;319.40
2020;02;08;01;00;10.45;81.00;0.00;2.70;335.56
2020;02;08;02;00;10.23;81.00;0.00;2.55;307.87
2020;02;08;03;00;9.89;82.00;0.00;2.72;350.54
2020;02;08;04;00;9.51;83.00;0.00;3.20;347.91
2020;02;08;05;00;9.20;86.00;0.00;4.08;350.54
2020;02;08;06;00;8.78;87.00;0.00;4.47;360.00
