Year;Month;Day;Hour;Minute;Temperature  [2 m above gnd];Relative Humidity  [2 m above gnd];Total Precipitation (high resolution)  [sfc];Wind Speed  [10 m above gnd];Wind Direction  [10 m above gnd]
2020;01;27;00;00;11.67;88.00;0.00;6.45;213.69
2020;01;27;01;00;11.54;89.00;0.00;6.58;215.31
2020;01;27;02;00;11.55;91.00;0.00;6.89;215.75
2020;01;27;03;00;11.56;92.00;0.00;7.39;215.13
2020;01;27;04;00;12.41;89.00;0.00;8.28;218.42
2020;01;27;05;00;12.94;87.00;0.00;9.81;223.15
2020;01;27;06;00;13.05;87.00;0.00;11.26;229.03
2020;01;27;07;00;13.14;87.00;0.00;12.04;228.01
2020;01;27;08;00;13.19;88.00;0.00;12.67;227.86
2020;01;27;09;00;13.27;89.00;0.00;12.86;229.94
2020;01;27;10;00;13.78;89.00;0.00;13.73;232.94
2020;01;27;11;00;14.02;89.00;0.00;14.54;233.13
2020;01;27;12;00;14.11;90.00;0.00;15.20;237.01
2020;01;27;13;00;14.57;85.00;0.10;16.26;235.65
2020;01;27;14;00;14.64;87.00;0.10;15.27;238.17
2020;01;27;15;00;14.59;88.00;0.10;14.62;240.69
2020;01;27;16;00;14.81;89.00;0.10;13.81;245.10
2020;01;27;17;00;14.84;90.00;0.00;13.31;245.16
2020;01;27;18;00;14.56;92.00;0.00;12.91;242.10
2020;01;27;19;00;14.31;93.00;0.00;13.11;242.56
2020;01;27;20;00;14.15;94.00;0.00;12.51;245.73
2020;01;27;21;00;13.93;95.00;0.00;11.81;245.38
2020;01;27;22;00;13.80;96.00;0.00;11.00;243.43
2020;01;27;23;00;13.94;97.00;0.00;10.81;245.56
2020;01;28;00;00;14.01;96.00;0.00;10.72;246.64
2020;01;28;01;00;14.02;96.00;0.00;11.13;247.56
2020;01;28;02;00;14.01;96.00;0.00;10.14;247.96
2020;01;28;03;00;13.98;96.00;0.00;9.70;244.03
2020;01;28;04;00;13.96;96.00;0.00;10.20;244.00
2020;01;28;05;00;13.89;97.00;0.00;10.00;243.43
2020;01;28;06;00;13.89;97.00;0.00;9.61;242.24
2020;01;28;07;00;13.93;97.00;0.00;9.80;242.85
2020;01;28;08;00;13.89;97.00;0.00;9.11;245.32
2020;01;28;09;00;13.81;97.00;0.00;8.91;241.50
2020;01;28;10;00;13.60;96.00;0.00;11.02;240.83
2020;01;28;11;00;13.51;95.00;0.00;10.32;240.10
2020;01;28;12;00;13.99;94.00;0.00;10.05;237.72
2020;01;28;13;00;14.86;92.00;0.60;9.50;254.98
2020;01;28;14;00;14.86;91.00;0.40;9.01;255.62
2020;01;28;15;00;14.87;91.00;0.10;8.63;253.44
2020;01;28;16;00;14.84;91.00;0.00;8.35;249.62
2020;01;28;17;00;14.66;91.00;0.00;8.31;246.19
2020;01;28;18;00;14.20;93.00;0.00;8.02;239.86
2020;01;28;19;00;13.55;95.00;0.00;7.76;236.77
2020;01;28;20;00;13.32;95.00;0.00;7.76;236.77
2020;01;28;21;00;13.11;96.00;0.00;7.33;238.74
2020;01;28;22;00;13.02;96.00;0.00;6.83;238.39
2020;01;28;23;00;12.97;96.00;0.00;6.64;237.38
2020;01;29;00;00;12.94;96.00;0.00;6.40;233.53
2020;01;29;01;00;12.91;96.00;0.00;6.36;230.71
2020;01;29;02;00;12.96;96.00;0.00;5.73;218.66
2020;01;29;03;00;13.00;96.00;0.00;5.50;206.57
2020;01;29;04;00;13.01;96.00;0.00;5.73;200.56
2020;01;29;05;00;13.06;96.00;0.00;6.02;195.07
2020;01;29;06;00;13.07;96.00;0.00;6.97;185.53
2020;01;29;07;00;12.68;96.00;0.00;7.86;184.90
2020;01;29;08;00;12.52;95.00;0.00;7.55;191.98
2020;01;29;09;00;12.61;95.00;0.00;7.72;190.01
2020;01;29;10;00;13.02;93.00;0.00;8.91;197.53
2020;01;29;11;00;13.95;93.00;0.00;9.11;204.68
2020;01;29;12;00;14.54;91.00;0.00;8.91;205.28
2020;01;29;13;00;15.70;79.00;0.00;10.52;209.29
2020;01;29;14;00;15.99;77.00;0.00;11.14;218.48
2020;01;29;15;00;16.04;79.00;0.00;11.41;221.82
2020;01;29;16;00;15.68;82.00;0.00;11.39;223.41
2020;01;29;17;00;15.39;84.00;0.00;11.71;223.45
2020;01;29;18;00;15.16;85.00;0.00;10.76;225.00
2020;01;29;19;00;14.65;88.00;0.00;10.31;220.60
2020;01;29;20;00;14.29;91.00;0.00;9.85;219.47
2020;01;29;21;00;14.29;91.00;0.00;10.03;218.66
2020;01;29;22;00;13.34;95.00;0.00;10.77;221.63
2020;01;29;23;00;13.08;95.00;0.00;9.83;221.31
2020;01;30;00;00;12.66;95.00;0.00;10.29;222.36
2020;01;30;01;00;12.59;95.00;0.00;10.30;214.38
2020;01;30;02;00;12.64;96.00;0.00;9.82;210.07
2020;01;30;03;00;12.95;96.00;0.00;9.52;209.58
2020;01;30;04;00;13.43;93.00;0.00;9.85;219.47
2020;01;30;05;00;13.40;89.00;0.00;10.76;226.68
2020;01;30;06;00;13.18;90.00;0.00;10.29;222.36
2020;01;30;07;00;13.24;91.00;0.00;10.48;219.81
2020;01;30;08;00;12.99;94.00;0.00;10.66;219.04
2020;01;30;09;00;13.19;92.00;0.00;11.28;219.37
2020;01;30;10;00;13.82;87.00;0.00;12.86;220.06
2020;01;30;11;00;14.72;81.00;0.00;13.93;222.40
2020;01;30;12;00;15.38;78.00;0.00;14.57;222.51
2020;01;30;13;00;15.54;89.00;0.00;13.03;219.43
2020;01;30;14;00;15.46;90.00;0.00;13.76;224.34
2020;01;30;15;00;15.20;90.00;0.00;13.45;222.98
2020;01;30;16;00;15.19;90.00;0.00;13.13;224.31
2020;01;30;17;00;15.32;90.00;0.00;12.97;226.40
2020;01;30;18;00;15.04;92.00;0.00;12.02;225.00
2020;01;30;19;00;14.79;93.00;0.00;11.39;226.59
2020;01;30;20;00;14.77;94.00;0.00;10.92;227.49
2020;01;30;21;00;14.77;95.00;0.10;10.14;228.58
2020;01;30;22;00;14.74;95.00;0.50;10.17;230.36
2020;01;30;23;00;14.61;96.00;0.10;10.46;228.47
2020;01;31;00;00;14.63;96.00;0.10;10.69;232.65
2020;01;31;01;00;14.61;97.00;0.10;10.43;234.61
2020;01;31;02;00;14.56;97.00;0.00;10.38;232.88
2020;01;31;03;00;14.31;96.00;0.00;10.61;227.56
2020;01;31;04;00;13.77;96.00;0.00;10.28;225.88
2020;01;31;05;00;13.36;96.00;0.10;9.81;225.00
2020;01;31;06;00;13.26;95.00;0.70;9.97;225.91
2020;01;31;07;00;13.34;95.00;0.60;9.44;233.67
2020;01;31;08;00;13.64;97.00;0.00;9.00;235.12
2020;01;31;09;00;13.87;97.00;0.00;8.95;233.13
2020;01;31;10;00;14.46;96.00;0.00;8.74;230.19
2020;01;31;11;00;14.61;96.00;0.00;9.03;228.01
